Transaction_ID;Date;Department;Project_Name;Category;Budget_Allocated;Actual_Spending;Revenue_Generated;Status
TRX-248;16/06/2024;Leadership Center;Sertifikasi Cloud Computing;Operasional;135000000;130000000;0;Selesai
TRX-249;21/06/2024;Digital Talent;Leadership Executive Batch 5;Marketing;95000000;105000000;140000000;Selesai
TRX-250;26/06/2024;Admin & Finance;Workshop AI Bisnis;Vendor Fee;335000000;325000000;0;Selesai
TRX-251;01/07/2024;Learning Dev;Pengembangan LMS Telkom;Lisensi;255000000;270000000;350000000;Berjalan
TRX-252;06/07/2024;IT Transformation;Pelatihan Soft Skill;Honorarium;115000000;110000000;0;Dibatalkan
TRX-253;11/07/2024;Leadership Center;Pelatihan Digital Transformation;Sewa Venue;175000000;190000000;0;Selesai
TRX-254;16/07/2024;Digital Talent;Sertifikasi Cloud Computing;Konsumsi;58000000;62000000;85000000;Selesai
TRX-255;21/07/2024;Admin & Finance;Leadership Executive Batch 5;Operasional;105000000;100000000;0;Selesai
TRX-256;26/07/2024;Learning Dev;Workshop AI Bisnis;Marketing;65000000;72000000;95000000;Selesai
TRX-257;01/08/2024;IT Transformation;Pengembangan LMS Telkom;Vendor Fee;500000000;485000000;0;Berjalan
TRX-258;06/08/2024;Leadership Center;Pelatihan Soft Skill;Lisensi;85000000;92000000;0;Selesai
TRX-259;11/08/2024;Digital Talent;Pelatihan Digital Transformation;Honorarium;175000000;170000000;235000000;Selesai
TRX-260;16/08/2024;Admin & Finance;Sertifikasi Cloud Computing;Sewa Venue;255000000;270000000;0;Selesai
TRX-261;21/08/2024;Learning Dev;Leadership Executive Batch 5;Konsumsi;62000000;68000000;90000000;Selesai
TRX-262;26/08/2024;IT Transformation;Workshop AI Bisnis;Operasional;85000000;82000000;0;Selesai
TRX-263;01/09/2024;Leadership Center;Pengembangan LMS Telkom;Marketing;95000000;105000000;0;Berjalan
TRX-264;06/09/2024;Digital Talent;Pelatihan Soft Skill;Vendor Fee;155000000;150000000;205000000;Selesai
TRX-265;11/09/2024;Admin & Finance;Pelatihan Digital Transformation;Lisensi;295000000;310000000;0;Selesai
TRX-266;16/09/2024;Learning Dev;Sertifikasi Cloud Computing;Honorarium;215000000;210000000;285000000;Selesai
TRX-267;21/09/2024;IT Transformation;Leadership Executive Batch 5;Sewa Venue;445000000;470000000;0;Selesai
TRX-268;26/09/2024;Leadership Center;Workshop AI Bisnis;Konsumsi;45000000;48000000;0;Selesai
TRX-269;01/10/2024;Digital Talent;Pengembangan LMS Telkom;Operasional;115000000;110000000;155000000;Berjalan
TRX-270;06/10/2024;Admin & Finance;Pelatihan Soft Skill;Marketing;55000000;60000000;0;Selesai
TRX-271;11/10/2024;Learning Dev;Pelatihan Digital Transformation;Vendor Fee;215000000;210000000;285000000;Selesai
TRX-272;16/10/2024;IT Transformation;Sertifikasi Cloud Computing;Lisensi;355000000;370000000;0;Dibatalkan
TRX-273;21/10/2024;Leadership Center;Leadership Executive Batch 5;Honorarium;275000000;270000000;0;Selesai
TRX-274;26/10/2024;Digital Talent;Workshop AI Bisnis;Sewa Venue;185000000;180000000;245000000;Selesai
TRX-275;01/11/2024;Admin & Finance;Pengembangan LMS Telkom;Konsumsi;65000000;70000000;0;Berjalan
TRX-276;06/11/2024;Learning Dev;Pelatihan Soft Skill;Operasional;45000000;42000000;60000000;Selesai
TRX-277;11/11/2024;IT Transformation;Pelatihan Digital Transformation;Marketing;78000000;85000000;0;Selesai
TRX-278;16/11/2024;Leadership Center;Sertifikasi Cloud Computing;Vendor Fee;425000000;415000000;0;Selesai
TRX-279;21/11/2024;Digital Talent;Leadership Executive Batch 5;Lisensi;305000000;320000000;420000000;Selesai
TRX-280;26/11/2024;Admin & Finance;Workshop AI Bisnis;Honorarium;205000000;200000000;0;Selesai
TRX-281;01/12/2024;Learning Dev;Pengembangan LMS Telkom;Sewa Venue;495000000;510000000;680000000;Berjalan
TRX-282;05/12/2024;IT Transformation;Pelatihan Soft Skill;Konsumsi;38000000;42000000;0;Selesai
TRX-283;10/12/2024;Leadership Center;Pelatihan Digital Transformation;Operasional;95000000;92000000;0;Selesai
TRX-284;15/12/2024;Digital Talent;Sertifikasi Cloud Computing;Marketing;95000000;105000000;140000000;Selesai
TRX-285;18/12/2024;Admin & Finance;Leadership Executive Batch 5;Vendor Fee;405000000;395000000;0;Selesai
TRX-286;20/12/2024;Learning Dev;Workshop AI Bisnis;Lisensi;255000000;270000000;355000000;Selesai
TRX-287;22/12/2024;IT Transformation;Pengembangan LMS Telkom;Honorarium;215000000;210000000;0;Berjalan
TRX-288;24/12/2024;Leadership Center;Pelatihan Soft Skill;Sewa Venue;105000000;115000000;0;Dibatalkan
TRX-289;26/12/2024;Digital Talent;Pelatihan Digital Transformation;Konsumsi;65000000;70000000;95000000;Selesai
TRX-290;28/12/2024;Admin & Finance;Sertifikasi Cloud Computing;Operasional;145000000;140000000;0;Selesai
TRX-291;30/12/2024;Learning Dev;Leadership Executive Batch 5;Marketing;105000000;115000000;150000000;Selesai
TRX-292;02/01/2024;IT Transformation;Workshop AI Bisnis;Vendor Fee;355000000;345000000;0;Selesai
TRX-293;05/01/2024;Leadership Center;Pengembangan LMS Telkom;Lisensi;275000000;290000000;0;Berjalan
TRX-294;10/01/2024;Digital Talent;Pelatihan Soft Skill;Honorarium;125000000;120000000;165000000;Selesai
TRX-295;15/01/2024;Admin & Finance;Pelatihan Digital Transformation;Sewa Venue;195000000;210000000;0;Selesai
TRX-296;20/01/2024;Learning Dev;Sertifikasi Cloud Computing;Konsumsi;68000000;75000000;100000000;Selesai
TRX-297;25/01/2024;IT Transformation;Leadership Executive Batch 5;Operasional;115000000;110000000;0;Selesai
TRX-298;30/01/2024;Leadership Center;Workshop AI Bisnis;Marketing;75000000;82000000;0;Selesai
TRX-299;05/02/2024;Digital Talent;Pengembangan LMS Telkom;Vendor Fee;500000000;490000000;650000000;Berjalan
TRX-300;10/02/2024;Admin & Finance;Pelatihan Soft Skill;Lisensi;95000000;105000000;0;Selesai
